Year,Dist Name,Crops,Area,Production,Irrigation,Precipitation,Temperature (MIN),Temperature (MAX)
2015,Lucknow,Rice,52.94,107.27,54.38,67.48,26.024,34.001999999999995
2016,Lucknow,Rice,63.8,124.29,54.5,127.30000000000003,25.497,33.923
2017,Lucknow,Rice,51.62,139.73,51.87,131.74,25.982,34.129
1990,Lucknow,Maize,4.66,3.79,0.32,152.14,24.732,32.942
1991,Lucknow,Maize,4.03,1.1,0.25,153.08,24.712,33.646
1992,Lucknow,Maize,4.17,3.94,0.37,120.88000000000002,24.708000000000002,33.465999999999994
1993,Lucknow,Maize,4.11,4.85,0.41,93.58,25.216,33.70399999999999
1994,Lucknow,Maize,3.95,3.06,0.09,145.12,24.838,33.352
1995,Lucknow,Maize,4.39,4.89,0.26,130.27999999999997,25.774,34.2
1996,Lucknow,Maize,4.59,4.12,0.21,132.51,25.478,33.386
1997,Lucknow,Maize,4.39,4.19,0.16,134.3,25.002,33.058
1998,Lucknow,Maize,3.76,1.2,0.14,138.16,25.810000000000002,33.716
1999,Lucknow,Maize,3.73,3.65,0.16,152.52,25.378000000000004,33.442
2000,Lucknow,Maize,3.13,2.65,0.19,39.559999999999995,25.482000000000003,33.650000000000006
2001,Lucknow,Maize,3.18,2.64,0.18,126.56,25.633999999999997,33.757999999999996
2002,Lucknow,Maize,2.66,1.41,0.18,45.84,25.913999999999998,33.958000000000006
2003,Lucknow,Maize,2.72,2.21,0.04,120.34,25.721999999999998,34.07
2004,Lucknow,Maize,1.79,2.23,0.2,134.78,25.314,33.742000000000004
2005,Lucknow,Maize,2.93,2.91,0.2,119.0,25.71,34.153999999999996
2006,Lucknow,Maize,2.37,2.6,0.18,168.2,25.695999999999998,33.565999999999995
2007,Lucknow,Maize,2.28,3.36,0.13,131.2,25.7,34.001999999999995
2008,Lucknow,Maize,1.58,1.91,0.12,274.46,25.12,33.012
2009,Lucknow,Maize,1.54,1.94,0.13,158.95999999999998,25.455999999999996,34.552
2010,Lucknow,Maize,1.47,1.44,0.11,71.62,26.432,34.206
2011,Lucknow,Maize,1.54,1.75,0.12,122.82000000000001,25.548,33.263999999999996
2012,Lucknow,Maize,1.44,2.15,0.11,138.83999999999997,25.896000000000004,34.251999999999995
2013,Lucknow,Maize,1.26,2.14,0.14,144.98,25.610000000000003,33.1
2014,Lucknow,Maize,1.58,1.35,0.14,113.32000000000001,26.024,34.232
2015,Lucknow,Maize,1.11,1.38,0.17,67.48,26.024,34.001999999999995
2016,Lucknow,Maize,2.9,4.66,0.16,127.30000000000003,25.497,33.923
2017,Lucknow,Maize,1.62,1.88,0.17,131.74,25.982,34.129
1990,Lucknow,Sugarcane,0.67,0.67,0.53,152.14,24.732,32.942
1991,Lucknow,Sugarcane,0.64,0.64,0.53,153.08,24.712,33.646
1992,Lucknow,Sugarcane,0.58,0.58,0.52,120.88000000000002,24.708000000000002,33.465999999999994
1993,Lucknow,Sugarcane,0.51,0.51,0.48,93.58,25.216,33.70399999999999
1994,Lucknow,Sugarcane,0.59,0.59,0.51,145.12,24.838,33.352
1995,Lucknow,Sugarcane,0.53,0.53,0.44,130.27999999999997,25.774,34.2
1996,Lucknow,Sugarcane,0.56,0.56,0.41,132.51,25.478,33.386
1997,Lucknow,Sugarcane,0.52,0.52,0.38,134.3,25.002,33.058
1998,Lucknow,Sugarcane,0.52,0.52,0.4,138.16,25.810000000000002,33.716
1999,Lucknow,Sugarcane,0.39,0.39,0.28,152.52,25.378000000000004,33.442
2000,Lucknow,Sugarcane,0.49,0.49,0.37,39.559999999999995,25.482000000000003,33.650000000000006
2001,Lucknow,Sugarcane,0.54,0.54,0.44,126.56,25.633999999999997,33.757999999999996
2002,Lucknow,Sugarcane,0.43,0.43,0.34,45.84,25.913999999999998,33.958000000000006
2003,Lucknow,Sugarcane,0.43,0.43,0.38,120.34,25.721999999999998,34.07
2004,Lucknow,Sugarcane,0.42,0.42,0.36,134.78,25.314,33.742000000000004
2005,Lucknow,Sugarcane,0.46,0.46,0.4,119.0,25.71,34.153999999999996
2006,Lucknow,Sugarcane,0.55,0.55,0.54,168.2,25.695999999999998,33.565999999999995
2007,Lucknow,Sugarcane,0.47,0.47,0.42,131.2,25.7,34.001999999999995
2008,Lucknow,Sugarcane,0.36,0.36,0.35,274.46,25.12,33.012
2009,Lucknow,Sugarcane,0.2,0.2,0.2,158.95999999999998,25.455999999999996,34.552
2010,Lucknow,Sugarcane,0.14,0.14,0.14,71.62,26.432,34.206
2011,Lucknow,Sugarcane,0.24,0.24,0.21,122.82000000000001,25.548,33.263999999999996
2012,Lucknow,Sugarcane,0.26,0.26,0.2,138.83999999999997,25.896000000000004,34.251999999999995
2013,Lucknow,Sugarcane,0.2,0.2,0.2,144.98,25.610000000000003,33.1
2014,Lucknow,Sugarcane,0.2,0.2,0.18,113.32000000000001,26.024,34.232
2015,Lucknow,Sugarcane,0.2,0.2,0.13,67.48,26.024,34.001999999999995
2016,Lucknow,Sugarcane,0.22,0.22,0.12,127.30000000000003,25.497,33.923
2017,Lucknow,Sugarcane,0.27,0.27,0.16,131.74,25.982,34.129
1990,Lucknow,Pearl Millet,2.15,1.3,0.01,152.14,24.732,32.942
1991,Lucknow,Pearl Millet,2.35,1.25,0.24,153.08,24.712,33.646
1992,Lucknow,Pearl Millet,1.99,1.55,0.02,120.88000000000002,24.708000000000002,33.465999999999994
1993,Lucknow,Pearl Millet,1.93,1.89,0.01,93.58,25.216,33.70399999999999
1994,Lucknow,Pearl Millet,1.96,1.87,0.02,145.12,24.838,33.352
1995,Lucknow,Pearl Millet,1.97,1.92,0.01,130.27999999999997,25.774,34.2
1996,Lucknow,Pearl Millet,2.22,2.09,0.02,132.51,25.478,33.386
1997,Lucknow,Pearl Millet,2.13,2.35,0.03,134.3,25.002,33.058
1998,Lucknow,Pearl Millet,1.83,0.92,0.13,138.16,25.810000000000002,33.716
1999,Lucknow,Pearl Millet,1.87,2.03,0.09,152.52,25.378000000000004,33.442
2000,Lucknow,Pearl Millet,1.57,1.23,0.07,39.559999999999995,25.482000000000003,33.650000000000006
2001,Lucknow,Pearl Millet,1.56,1.29,0.09,126.56,25.633999999999997,33.757999999999996
2002,Lucknow,Pearl Millet,1.44,1.05,0.03,45.84,25.913999999999998,33.958000000000006
2003,Lucknow,Pearl Millet,1.71,1.36,0.14,120.34,25.721999999999998,34.07
2004,Lucknow,Pearl Millet,1.47,1.57,0.01,134.78,25.314,33.742000000000004
2005,Lucknow,Pearl Millet,1.51,1.12,0.12,119.0,25.71,34.153999999999996
2006,Lucknow,Pearl Millet,1.34,1.62,0.15,168.2,25.695999999999998,33.565999999999995
2007,Lucknow,Pearl Millet,1.36,1.3,0.07,131.2,25.7,34.001999999999995
2008,Lucknow,Pearl Millet,0.82,0.87,0.09,274.46,25.12,33.012
2009,Lucknow,Pearl Millet,0.91,0.78,0.04,158.95999999999998,25.455999999999996,34.552
2010,Lucknow,Pearl Millet,0.91,1.02,0.03,71.62,26.432,34.206
2011,Lucknow,Pearl Millet,0.9,0.97,0.02,122.82000000000001,25.548,33.263999999999996
2012,Lucknow,Pearl Millet,0.81,0.7,0.01,138.83999999999997,25.896000000000004,34.251999999999995
2013,Lucknow,Pearl Millet,0.79,0.63,0.08,144.98,25.610000000000003,33.1
2014,Lucknow,Pearl Millet,0.63,0.67,0.09,113.32000000000001,26.024,34.232
2015,Lucknow,Pearl Millet,0.55,0.64,0.19,67.48,26.024,34.001999999999995
2016,Lucknow,Pearl Millet,0.87,1.24,0.24,127.30000000000003,25.497,33.923
2017,Lucknow,Pearl Millet,0.8,0.9,0.08,131.74,25.982,34.129
