Year,Dist Name,Crops,Area,Production,Irrigation,Precipitation,Temperature (MAX),Temperature (MIN)
1990,Varanasi,Chickpea,16.67,1158.37,1.91,10.553333333333333,29.69714285714286,15.6
1991,Varanasi,Chickpea,16.68,1168.47,1.93,11.244285714285713,30.027142857142856,15.518571428571429
1992,Varanasi,Chickpea,15.4,981.82,1.69,5.598571428571428,29.898571428571422,15.16142857142857
1993,Varanasi,Chickpea,13.19,1476.88,1.51,7.65142857142857,29.62,15.422857142857142
1994,Varanasi,Chickpea,13.87,1080.75,1.52,11.280000000000001,30.291428571428572,15.681428571428572
1995,Varanasi,Chickpea,15.23,725.54,1.19,11.65142857142857,29.64428571428572,15.295714285714284
1996,Varanasi,Chickpea,10.98,1342.44,0.69,13.904285714285715,30.525714285714287,16.075714285714287
1997,Varanasi,Chickpea,7.99,806.01,0.47,17.255714285714284,29.798571428571428,14.932857142857143
1998,Varanasi,Chickpea,7.71,856.03,0.31,11.66,29.22,15.47857142857143
1999,Varanasi,Chickpea,8.15,1093.25,0.37,9.562857142857142,31.27285714285714,16.285714285714285
2000,Varanasi,Chickpea,8.0,905.0,0.37,7.514285714285714,30.224285714285713,16.557142857142857
2001,Varanasi,Chickpea,6.68,1047.9,0.33,3.742857142857143,30.94857142857143,15.868571428571428
2002,Varanasi,Chickpea,6.35,806.3,0.19,14.645714285714286,31.168571428571425,16.405714285714286
2003,Varanasi,Chickpea,5.62,1341.64,0.2,19.445714285714285,30.822857142857142,15.917142857142855
2004,Varanasi,Chickpea,9.11,1071.35,0.14,8.684285714285712,31.238571428571422,16.34
2005,Varanasi,Chickpea,4.74,909.28,0.14,10.372857142857141,30.435714285714287,16.678571428571427
2006,Varanasi,Chickpea,4.93,801.22,0.11,10.858571428571429,30.905714285714286,15.934285714285716
2007,Varanasi,Chickpea,4.77,813.42,0.08,11.471428571428572,30.528571428571432,16.23142857142857
2008,Varanasi,Chickpea,4.71,1027.6,0.12,4.811428571428571,30.53142857142857,16.421428571428574
2009,Varanasi,Chickpea,4.91,904.28,0.09,1.8285714285714285,31.95,16.62
2010,Varanasi,Chickpea,4.82,958.51,0.15,7.764285714285714,31.60857142857143,16.162857142857142
2011,Varanasi,Chickpea,4.76,1210.08,0.12,4.468571428571428,30.504285714285718,16.55
2012,Varanasi,Chickpea,4.65,1139.78,0.14,11.967142857142859,30.398571428571426,15.968571428571428
2013,Varanasi,Chickpea,3.81,939.63,0.1,6.814285714285715,30.314285714285717,15.162857142857145
2014,Varanasi,Chickpea,4.18,665.07,0.12,23.512857142857147,29.527142857142856,15.458571428571428
2015,Varanasi,Chickpea,4.42,1000.0,0.22,14.712857142857144,29.185714285714283,15.29142857142857
2016,Varanasi,Chickpea,4.86,1392.39,0.22,10.378571428571428,30.85721,15.707472527472529
2017,Varanasi,Chickpea,3.59,1372.56,0.12,6.332857142857143,30.12458,15.878848188848186
1990,Lucknow,Chickpea,6.84,654.97,0.25,12.65,28.930000000000003,13.698571428571428
1991,Lucknow,Chickpea,6.63,930.62,0.3,12.058571428571428,28.799999999999994,14.27
1992,Lucknow,Chickpea,5.86,1105.8,0.18,10.391428571428573,28.690000000000005,13.921428571428573
1993,Lucknow,Chickpea,4.57,818.38,0.2,15.845714285714283,28.604285714285716,14.321428571428571
1994,Lucknow,Chickpea,4.73,1128.96,0.27,8.337142857142856,29.455714285714286,14.179999999999998
1995,Lucknow,Chickpea,4.77,649.9,0.2,12.591428571428569,28.474285714285717,14.70142857142857
1996,Lucknow,Chickpea,4.33,916.86,0.24,12.709999999999999,29.544285714285714,14.504285714285714
1997,Lucknow,Chickpea,4.03,811.41,0.1,27.992857142857144,28.90142857142857,14.794285714285715
1998,Lucknow,Chickpea,3.49,750.72,0.13,23.492857142857144,27.795714285714286,14.215714285714284
1999,Lucknow,Chickpea,3.05,908.2,0.08,18.997142857142858,29.947142857142858,14.517142857142858
2000,Lucknow,Chickpea,2.74,948.91,0.07,21.099999999999998,29.728571428571428,15.215714285714286
2001,Lucknow,Chickpea,2.48,939.52,0.06,3.632857142857143,29.987142857142853,15.002857142857144
2002,Lucknow,Chickpea,2.33,914.16,0.06,21.687142857142856,30.214285714285715,15.1
2003,Lucknow,Chickpea,2.23,869.96,0.07,27.807142857142853,29.86571428571429,15.315714285714288
2004,Lucknow,Chickpea,2.16,972.22,0.08,7.9957142857142856,30.697142857142858,14.724285714285713
2005,Lucknow,Chickpea,2.04,1147.06,0.05,16.364285714285714,29.655714285714282,15.088571428571429
2006,Lucknow,Chickpea,1.84,782.61,0.04,13.905714285714286,29.84142857142857,14.962857142857144
2007,Lucknow,Chickpea,1.47,993.2,0.02,13.727142857142857,29.65571428571429,16.0
2008,Lucknow,Chickpea,1.36,1132.35,0.04,2.567142857142857,29.677142857142858,14.674285714285713
2009,Lucknow,Chickpea,1.31,854.96,0.03,2.7414285714285715,31.09714285714286,15.289999999999997
2010,Lucknow,Chickpea,1.19,613.45,0.06,19.101428571428574,30.650000000000002,15.704285714285714
2011,Lucknow,Chickpea,1.0,1080.0,0.01,5.7700000000000005,29.538571428571426,15.328571428571431
2012,Lucknow,Chickpea,0.94,1180.85,0.01,9.355714285714285,29.312857142857144,15.05
2013,Lucknow,Chickpea,1.17,478.63,0.01,10.982857142857142,29.115714285714287,14.915714285714285
2014,Lucknow,Chickpea,0.65,538.46,0.01,25.155714285714286,28.584285714285716,14.484285714285717
2015,Lucknow,Chickpea,0.62,500.0,0.01,32.56857142857143,28.901428571428575,14.625714285714285
2016,Lucknow,Chickpea,0.88,750.85,0.01,18.274285714285714,29.626868131868132,14.884285714285713
2017,Lucknow,Chickpea,0.93,942.18,0.01,32.98571428571429,29.45528083028083,14.795978835978834
